credit_card_number,customer_name,total_spent,transaction_count,average_transaction_amount
************4270,Tammy Ayers,296436.73,3110,95.32
************6297,Lauren Torres,290478.49,3039,95.58
************2900,Allison Allen,284013.5,3106,91.44
**********7270,Jessica Perez,280008.05,3119,89.77
************0915,Erin Chavez,278325.97,3090,90.07
************6996,Rebecca Erickson,278139.27,3101,89.69
************4947,Crystal Gamble,278042.99,3026,91.88
************3386,Jenna Brooks,277085.65,3064,90.43
************5450,Susan Hardy,275930.63,3027,91.16
***********6510,Kristen Hanson,275889.68,3054,90.34
***********7117,Mary Wall,274019.88,3080,88.97
***********3900,Joanna Hudson,273723.12,3027,90.43
************4285,Kimberly Gonzalez,273162.27,3081,88.66
***********4907,Sharon Smith,272866.42,3026,90.17
************2327,Kristina Stewart,272468.9,3034,89.81
***********4544,Margaret Curtis,271661.15,3046,89.19
************6166,Angela Hodges,270698.48,3032,89.28
************2018,Jodi Rodriguez,269099.47,3072,87.6
************8216,Michelle Johnston,258282.59,3038,85.02
************3017,Jessica Ward,256768.11,3023,84.94
************4745,Sara Harris,254989.34,3055,83.47
***********0030,Tara Campbell,240020.21,2562,93.68
************8268,Crystal Fuller,238545.08,2602,91.68
***********1743,Becky Mckinney,236038.18,2539,92.97
************0000,Shelby Mitchell,232098.45,2530,91.74
************0662,Barbara Lowe,231510.73,2590,89.39
************4754,Ashley Lopez,230738.38,2577,89.54
*********2265,Carrie Washington,230041.75,2922,78.73
************8160,Tammy Davis,225624.2,2564,88.0
**********9364,Brianna Foley,225139.35,2587,87.03
***********9658,Sarah Bishop,224174.34,2562,87.5
**********7183,Morgan Smith,223866.0,2585,86.6
************8086,Ann Lawson,223854.66,2572,87.04
***********9002,Donna Moreno,223440.82,2599,85.97
**********8990,Allison Ayala,222480.84,2524,88.15
************5434,Gina Grimes,221146.62,2918,75.79
**********3748,Theresa Powell,216981.43,2564,84.63
************0942,Michelle Gregory,216379.45,2918,74.15
**********9122,Ana Mccormick,215804.74,2498,86.39
**********8427,Andrew Patterson,214442.24,2949,72.72
***********7633,Lori Ramirez,211808.75,2973,71.24
***********2014,Sarah Clark,211302.71,2572,82.16
************1233,Samuel Jenkins,209016.52,2949,70.88
***********4021,Aaron Murray,204477.6,2050,99.75
**********5320,Jesse Roberts,202428.03,2097,96.53
************4413,Allen Bell,199987.45,2049,97.6
************1064,Omar Gay,199435.8,2051,97.24
************5790,Tanner Carroll,199199.35,2074,96.05
**********3351,Greg Villarreal,198108.02,2033,97.45
*********7911,Daniel Boyd,197587.1,2051,96.34
***********0192,Craig Dunn,197492.15,2065,95.64
************2894,Joseph Davis,197432.96,2042,96.69
************5790,Ryan Joseph,197223.88,2068,95.37
***********3206,James Hunt,196300.0,2073,94.69
************7879,Jeffrey Smith,196094.17,2080,94.28
************5038,Elizabeth Maxwell,194213.18,2038,95.3
************6919,Joseph Murray,193805.47,2024,95.75
************3136,Kimberly Rice,193561.46,2102,92.08
***********6888,Michael Flores,192657.95,2093,92.05
***********3984,Tyler Garcia,191974.21,2017,95.18
************4489,Stephanie Taylor,191617.84,2062,92.93
**********3302,John Peters,189228.01,2035,92.99
************6568,Debbie Hughes,187828.36,2025,92.75
************8072,Kenneth Sanchez,187818.27,2458,76.41
**********0193,William Jenkins,187286.11,2024,92.53
**********0476,Kelsey Richards,185726.19,2057,90.29
************5942,Sabrina Johnson,184672.82,3040,60.75
**********7930,April Johnson,184672.54,2071,89.17
***********2519,Kayla Jones,184162.8,3090,59.6
************0912,Jason Hernandez,184011.25,2024,90.91
************3829,Sara Ramirez,183914.73,3051,60.28
************5089,Kenneth Foster,181682.84,2597,69.96
************3950,Mary Pruitt,181476.8,2045,88.74
***********7467,Carol Dillon,181391.83,3077,58.95
************9750,Janet Carpenter,180762.9,2021,89.44
************1683,Kimberly Martin,179963.32,2047,87.92
***********3773,Ana Howell,179368.37,3117,57.55
************0012,Lisa Lowe,178563.56,3095,57.69
************9026,Lindsay Wilson,177763.42,3087,57.58
************8504,Chris White,177737.56,2553,69.62
************0277,Jason Singh,177365.62,2456,72.22
************2095,Jennifer Banks,177233.44,2028,87.39
************5751,James Stephens,175029.62,2619,66.83
************5713,Kathryn Smith,170856.34,3045,56.11
*********4914,Sabrina Nolan,170757.85,2002,85.29
************0735,Janet Turner,170000.95,3056,55.63
***********2684,Rachel Lowe,169807.22,3061,55.47
**********2988,Danielle Yu,169032.61,3071,55.04
************4918,Sharon Johnson,168068.03,3088,54.43
***********7083,Adam Santos,167152.2,2603,64.22
************4485,Ashley Whitney,165741.18,3083,53.76
